date,E_Conductivity,TempInSitu,Serial,Sp_Conductance,AbsPressure_bar,Sp_Conductance_cal,SalinityInSitu_1pCal
2021-03-26T15:15:00Z,48719.6,24.6,CT_347,48296.58920742163,1,49845.612340979525,32.619540610671336
2021-03-26T15:15:10Z,48763.6,24.62,CT_347,48362.38089798974,1,49911.40403154763,32.66782702235628
2021-03-26T15:15:20Z,48758.7,24.67,CT_347,48412.96782978022,1,49961.99096333811,32.704961697968876
2021-03-26T15:15:30Z,48783.2,24.66,CT_347,48426.197169312516,1,49975.22030287041,32.71467411623182
2021-03-26T15:15:40Z,48661.1,24.64,CT_347,48282.855444738234,1,49831.87857829613,32.609462394236324
2021-03-26T15:15:50Z,48651.3,24.62,CT_347,48251.00488442954,1,49800.02801798743,32.58609141191554
2021-03-26T15:16:00Z,48602.6,24.61,CT_347,48191.65481424235,1,49740.67794780024,32.54254898958922
2021-03-26T15:16:10Z,48631.8,24.61,CT_347,48220.607922112635,1,49769.63105567053,32.56378943840676
2021-03-26T15:16:20Z,48597.8,24.6,CT_347,48175.84674308564,1,49724.869876643534,32.53095284199987
2021-03-26T15:16:30Z,48563.7,24.61,CT_347,48153.08372190832,1,49702.10685546621,32.51425594548281
2021-03-26T15:16:40Z,48568.6,24.6,CT_347,48146.90027380311,1,49695.923407361006,32.50972055370273
2021-03-26T15:16:50Z,48554,24.6,CT_347,48132.427039161856,1,49681.45017271975,32.499105207600955
2021-03-26T15:17:00Z,48520,24.6,CT_347,48098.722246161655,1,49647.74537971955,32.47438660083961
2021-03-26T15:17:10Z,48486,24.6,CT_347,48065.01745316146,1,49614.040586719355,32.44967087968525
2021-03-26T15:17:20Z,48476.4,24.6,CT_347,48055.500805726115,1,49604.52393928401,32.4426928455568
2021-03-26T15:17:30Z,48427.9,24.61,CT_347,48018.431939415736,1,49567.45507297363,32.41551447822883
2021-03-26T15:17:40Z,48457,24.6,CT_347,48036.26924736718,1,49585.29238092507,32.428592103838376
2021-03-26T15:17:50Z,48481.2,24.6,CT_347,48060.25912944379,1,49609.28226300168,32.4461818338625
2021-03-26T15:18:00Z,48471.5,24.61,CT_347,48061.66329226313,1,49610.686425821026,32.44721143173034
2021-03-26T15:18:10Z,48476.4,24.61,CT_347,48066.521861734516,1,49615.54499529241,32.450774000805595
2021-03-26T15:18:20Z,48442.4,24.61,CT_347,48032.80933887187,1,49581.83247242976,32.42605536930612
2021-03-26T15:18:30Z,48427.9,24.6,CT_347,48007.42190982878,1,49556.44504338667,32.40744275300976
2021-03-26T15:18:40Z,48369.9,24.6,CT_347,47949.925498240205,1,49498.9486317981,32.36529571420789
2021-03-26T15:18:50Z,48345.7,24.6,CT_347,47925.935616163595,1,49474.95874972149,32.34771270909738
2021-03-26T15:19:00Z,48408.6,24.59,CT_347,47977.28485607517,1,49526.30798963307,32.38535010819025
2021-03-26T15:19:10Z,48408.6,24.59,CT_347,47977.28485607517,1,49526.30798963307,32.38535010819025
2021-03-26T15:19:20Z,48350.6,24.59,CT_347,47919.80162950691,1,49468.824763064804,32.343217135236976
2021-03-26T15:19:30Z,48331.2,24.58,CT_347,47889.588462466134,1,49438.61159602403,32.32107542334029
2021-03-26T15:19:40Z,48331.2,24.58,CT_347,47889.588462466134,1,49438.61159602403,32.32107542334029
2021-03-26T15:19:50Z,48355.4,24.58,CT_347,47913.5673423779,1,49462.590475935795,32.33864814953663
2021-03-26T15:20:00Z,48345.7,24.58,CT_347,47903.95597315707,1,49452.97910671496,32.33160436068642
2021-03-26T15:20:10Z,48369.9,24.58,CT_347,47927.93485306884,1,49476.95798662673,32.34917796234908
2021-03-26T15:20:20Z,48336.1,24.58,CT_347,47894.44369021686,1,49443.466823774754,32.324633419347606
