date,E_Conductivity,TempInSitu,Serial,Sp_Conductance,AbsPressure_bar,Sp_Conductance_cal,SalinityInSitu_1pCal
2021-03-26T15:39:00Z,47427.6,25,CT_349,47447.88567547851,1,49175.76907751169,32.1285492390424
2021-03-26T15:39:10Z,47413.9,25,CT_349,47434.17981573114,1,49162.06321776433,32.11851482557603
2021-03-26T15:39:20Z,47409.4,25,CT_349,47429.67789099661,1,49157.561293029794,32.115218954565876
2021-03-26T15:39:30Z,47368.3,25,CT_349,47388.56031175452,1,49116.4437137877,32.085119050941884
2021-03-26T15:39:40Z,47418.5,25,CT_349,47438.78178323756,1,49166.665185270744,32.12188399143052
2021-03-26T15:39:50Z,47350,25,CT_349,47370.25248450074,1,49098.13588653393,32.07171828741128
2021-03-26T15:40:00Z,47309,25.01,CT_349,47340.0301630594,1,49067.91356509258,32.049598347534335
2021-03-26T15:40:10Z,47368.3,25.01,CT_349,47399.36905816751,1,49127.252460200696,32.09303111931497
2021-03-26T15:40:20Z,47340.9,25.01,CT_349,47371.95108639749,1,49099.83448843067,32.07296157561042
2021-03-26T15:40:30Z,47286.2,25.01,CT_349,47317.215208447844,1,49045.09861048103,32.03290145281962
2021-03-26T15:40:40Z,47299.9,25.03,CT_349,47352.51343095504,1,49080.39683298823,32.05873466174849
2021-03-26T15:40:50Z,47350,25.03,CT_349,47402.669159040954,1,49130.55256107414,32.09544687250709
2021-03-26T15:41:00Z,47386.5,25.03,CT_349,47439.209759343066,1,49167.09316137625,32.122197321560385
2021-03-26T15:41:10Z,47304.4,25.03,CT_349,47357.018436471735,1,49084.90183850492,32.062031904199294
2021-03-26T15:41:20Z,47318.1,25.03,CT_349,47370.73367548924,1,49098.617077522424,32.07207049343047
2021-03-26T15:41:30Z,47249.8,25.03,CT_349,47302.35770286913,1,49030.241104902314,32.02202884883464
2021-03-26T15:41:40Z,47299.9,25.04,CT_349,47363.30952879889,1,49091.192930832076,32.0666364814173
2021-03-26T15:41:50Z,47263.5,25.01,CT_349,47294.500319426705,1,49022.38372145989,32.0162791053375
2021-03-26T15:42:00Z,47222.5,25,CT_349,47242.69795035557,1,48970.581352388755,31.978375972298387
2021-03-26T15:42:10Z,47195.3,24.98,CT_349,47193.950729245335,1,48921.83413127852,31.942714486571223
2021-03-26T15:42:20Z,47309,25.01,CT_349,47340.0301630594,1,49067.91356509258,32.049598347534335
2021-03-26T15:42:30Z,47295.3,25.04,CT_349,47358.70336210864,1,49086.58676414182,32.06326512534931
2021-03-26T15:42:40Z,47290.8,25.08,CT_349,47397.38327154539,1,49125.266673578575,32.09157748910473
2021-03-26T15:42:50Z,47354.6,25.14,CT_349,47526.222973007774,1,49254.10637504096,32.18591116188033
2021-03-26T15:43:00Z,47386.5,25.2,CT_349,47623.21373761901,1,49351.09713965219,32.25695356752623
2021-03-26T15:43:10Z,47372.8,25.24,CT_349,47652.76926399819,1,49380.652666031376,32.278606729491315
2021-03-26T15:43:20Z,47473.4,25.28,CT_349,47797.39556597695,1,49525.278968010134,32.38459580149538
2021-03-26T15:43:30Z,47445.9,25.33,CT_349,47823.98833503045,1,49551.87173706364,32.40409003947304
2021-03-26T15:43:40Z,47533,25.39,CT_349,47977.07112759199,1,49704.954529625174,32.5163446700424
2021-03-26T15:43:50Z,47519.2,25.43,CT_349,48006.675105603455,1,49734.55850763664,32.53805994593918
2021-03-26T15:44:00Z,47583.5,25.48,CT_349,48126.14670534948,1,49854.03010738266,32.62571803814168
2021-03-26T15:44:10Z,47592.7,25.52,CT_349,48179.08740656634,1,49906.97080859952,32.66457300737714
2021-03-26T15:44:20Z,47643.3,25.55,CT_349,48263.08285035173,1,49990.96625238492,32.726234701546836
2021-03-26T15:44:30Z,47652.5,25.58,CT_349,48305.18975106289,1,50033.07315309608,32.75715243684133
2021-03-26T15:44:40Z,47615.7,25.62,CT_349,48311.5820482582,1,50039.46545029138,32.76184648736739
2021-03-26T15:44:50Z,47675.5,25.64,CT_349,48394.13753162493,1,50122.02093365812,32.82247870828107
2021-03-26T15:45:00Z,47661.7,25.68,CT_349,48423.89175494473,1,50151.775156977914,32.84433570217554
2021-03-26T15:45:10Z,47684.8,25.7,CT_349,48469.25880768288,1,50197.14220971607,32.87766596391857
2021-03-26T15:45:20Z,47749.4,25.74,CT_349,48578.78800881639,1,50306.67141084957,32.95815638921582
2021-03-26T15:45:30Z,47962.6,26.01,CT_349,49093.52661037467,1,50821.410012407854,33.336833120596246
2021-03-26T15:45:40Z,47934.7,25.99,CT_349,49042.89497181503,1,50770.77837384822,33.29955525518741
2021-03-26T15:45:50Z,47911.5,25.98,CT_349,49008.128550360605,1,50736.01195239379,33.27396201928838
2021-03-26T15:46:00Z,47897.5,25.96,CT_349,48971.75738986333,1,50699.64079189651,33.24719073700807
2021-03-26T15:46:10Z,47920.8,25.96,CT_349,48995.579968227205,1,50723.46337026039,33.26472515660335
2021-03-26T15:46:20Z,47897.5,25.96,CT_349,48971.75738986333,1,50699.64079189651,33.24719073700807
2021-03-26T15:46:30Z,47920.8,25.96,CT_349,48995.579968227205,1,50723.46337026039,33.26472515660335
2021-03-26T15:46:40Z,47869.7,25.96,CT_349,48943.33388434762,1,50671.21728638081,33.22627172378026
2021-03-26T15:46:50Z,47841.9,25.95,CT_349,48903.89929720032,1,50631.7826992335,33.19725221249525
2021-03-26T15:47:00Z,47879,25.93,CT_349,48919.78656848399,1,50647.66997051718,33.208943019505504
2021-03-26T15:47:10Z,47841.9,25.95,CT_349,48903.89929720032,1,50631.7826992335,33.19725221249525
2021-03-26T15:47:20Z,47851.2,25.95,CT_349,48913.405739533584,1,50641.28914156677,33.204247545996445
2021-03-26T15:47:30Z,47841.9,25.95,CT_349,48903.89929720032,1,50631.7826992335,33.19725221249525
2021-03-26T15:47:40Z,47841.9,25.93,CT_349,48881.88009421154,1,50609.76349624473,33.181050220459156
2021-03-26T15:47:50Z,47851.2,25.93,CT_349,48891.38225622592,1,50619.26565825911,33.188041873763034
2021-03-26T15:48:00Z,47828,25.93,CT_349,48867.67793808251,1,50595.561340115695,33.170600756811176
2021-03-26T15:48:10Z,47874.3,25.95,CT_349,48937.018515651704,1,50664.90191768489,33.22162404311027
2021-03-26T15:48:20Z,47860.4,25.95,CT_349,48922.80996205682,1,50650.69336409,33.21116788629229
2021-03-26T15:48:30Z,47888.3,25.95,CT_349,48951.32928905662,1,50679.21269108981,33.23215594141651
2021-03-26T15:48:40Z,47735.5,25.88,CT_349,48718.2588410787,1,50446.142243111884,33.06069426114307
2021-03-26T15:48:50Z,47814.1,25.87,CT_349,48787.48023471404,1,50515.36363674723,33.11160361106306
2021-03-26T15:49:00Z,47772.5,25.87,CT_349,48745.03335863012,1,50472.916760663305,33.08038432310843
2021-03-26T15:49:10Z,47809.5,25.87,CT_349,48782.78658976246,1,50510.66999179564,33.10815125357989
2021-03-26T15:49:20Z,47823.4,25.88,CT_349,48807.9684901267,1,50535.85189215989,33.1266741698661
2021-03-26T15:49:30Z,47758.6,25.87,CT_349,48730.85038801554,1,50458.733790048725,33.06995389675604
2021-03-26T15:49:40Z,47772.5,25.87,CT_349,48745.03335863012,1,50472.916760663305,33.08038432310843
2021-03-26T15:49:50Z,47758.6,25.87,CT_349,48730.85038801554,1,50458.733790048725,33.06995389675604
2021-03-26T15:50:00Z,47781.7,25.87,CT_349,48754.4206485333,1,50482.30405056648,33.08728819521252
2021-03-26T15:50:10Z,47730.9,25.87,CT_349,48702.586482546205,1,50430.46988457939,33.04916960439048
2021-03-26T15:50:20Z,47772.5,25.87,CT_349,48745.03335863012,1,50472.916760663305,33.08038432310843
2021-03-26T15:50:30Z,47721.7,25.87,CT_349,48693.19919264303,1,50421.08259467621,33.04226696631546
2021-03-26T15:50:40Z,47758.6,25.87,CT_349,48730.85038801554,1,50458.733790048725,33.06995389675604
2021-03-26T15:50:50Z,47707.8,25.87,CT_349,48679.016222028455,1,50406.89962406164,33.03183840446034
2021-03-26T15:51:00Z,47730.9,25.86,CT_349,48691.60981229391,1,50419.49321432709,33.04109828933371
2021-03-26T15:51:10Z,47781.7,25.86,CT_349,48743.432295810126,1,50471.31569784331,33.07920684551459
2021-03-26T15:51:20Z,47707.8,25.85,CT_349,48657.07449114623,1,50384.95789317942,33.015705927899255
2021-03-26T15:51:30Z,47744.8,25.85,CT_349,48694.81070526997,1,50422.694107303156,33.0434519237806
2021-03-26T15:51:40Z,47730.9,25.85,CT_349,48680.634127531586,1,50408.51752956477,33.03302800446953
2021-03-26T15:51:50Z,47694,25.84,CT_349,48632.033688386735,1,50359.91709041992,32.99729637634636
2021-03-26T15:52:00Z,47717.1,25.82,CT_349,48633.64791758201,1,50361.5313196152,32.99848308089878
2021-03-26T15:52:10Z,47680.2,25.82,CT_349,48596.03914403628,1,50323.922546069465,32.97083661568776
2021-03-26T15:52:20Z,47703.2,25.81,CT_349,48608.51555268759,1,50336.398954720775,32.98000771084347
2021-03-26T15:52:30Z,47680.2,25.81,CT_349,48585.07905665144,1,50312.962458684626,32.96278045607131
2021-03-26T15:52:40Z,47680.2,25.8,CT_349,48574.11995429863,1,50302.003356331814,32.954725325182345
2021-03-26T15:52:50Z,47652.5,25.8,CT_349,48545.900627980074,1,50273.78403001326,32.933985031751234
2021-03-26T15:53:00Z,47666.3,25.79,CT_349,48549.00443109621,1,50276.887833129396,32.936266127916085
2021-03-26T15:53:10Z,47703.2,25.79,CT_349,48586.5877606919,1,50314.47116272509,32.963889403647286
2021-03-26T15:53:20Z,47675.5,25.77,CT_349,48536.46368211618,1,50264.34708414936,32.92704963209193
2021-03-26T15:53:30Z,47666.3,25.76,CT_349,48516.14557355681,1,50244.028975589994,32.91211821592848
2021-03-26T15:53:40Z,47638.7,25.76,CT_349,48488.05349135554,1,50215.93689338872,32.891475570134446
2021-03-26T15:53:50Z,47652.5,25.76,CT_349,48502.09953245617,1,50229.98293448936,32.901796642751115
2021-03-26T15:54:00Z,47624.9,25.75,CT_349,48463.065979597945,1,50190.94938163113,32.87311590981727
2021-03-26T15:54:10Z,47638.7,25.75,CT_349,48477.10885025003,1,50204.99225228321,32.88343376240695
2021-03-26T15:54:20Z,47638.7,25.74,CT_349,48466.165194025496,1,50194.04859605868,32.875392982230004
2021-03-26T15:54:30Z,47638.7,25.74,CT_349,48466.165194025496,1,50194.04859605868,32.875392982230004
2021-03-26T15:54:40Z,47638.7,25.73,CT_349,48455.222522799726,1,50183.10592483291,32.86735322961446
2021-03-26T15:54:50Z,47624.9,25.73,CT_349,48441.18599218881,1,50169.069394221995,32.857040814692795
2021-03-26T15:55:00Z,47689.4,25.64,CT_349,48408.2470535322,1,50136.130455565384,32.832843065549504
2021-03-26T15:55:10Z,47542.2,25.6,CT_349,48215.19146365437,1,49943.07486568756,32.69107507561757
2021-03-26T15:55:20Z,47542.2,25.62,CT_349,48237.00787880259,1,49964.89128083578,32.707090949663254
2021-03-26T15:55:30Z,47514.6,25.62,CT_349,48209.004517211106,1,49936.88791924429,32.68653333231763
2021-03-26T15:55:40Z,47514.6,25.62,CT_349,48209.004517211106,1,49936.88791924429,32.68653333231763
2021-03-26T15:55:50Z,47528.4,25.62,CT_349,48223.00619800686,1,49950.88960004004,32.69681189215325
2021-03-26T15:56:00Z,47528.4,25.63,CT_349,48233.91271552417,1,49961.79611755736,32.70481865380592
2021-03-26T15:56:10Z,47537.6,25.63,CT_349,48243.24928054599,1,49971.13268257918,32.71167311188716
2021-03-26T15:56:20Z,47514.6,25.62,CT_349,48209.004517211106,1,49936.88791924429,32.68653333231763
2021-03-26T15:56:30Z,47537.6,25.62,CT_349,48232.34065187068,1,49960.22405390387,32.70366454186362
2021-03-26T15:56:40Z,47500.9,25.62,CT_349,48195.104297870406,1,49922.98769990359,32.67632974709137
2021-03-26T15:56:50Z,47500.9,25.62,CT_349,48195.104297870406,1,49922.98769990359,32.67632974709137
2021-03-26T15:57:00Z,47523.8,25.62,CT_349,48218.33897107494,1,49946.222373108125,32.693385650243535
2021-03-26T15:57:10Z,47487.1,25.62,CT_349,48181.102617074655,1,49908.98601910784,32.66605217903972
2021-03-26T15:57:20Z,47537.6,25.62,CT_349,48232.34065187068,1,49960.22405390387,32.70366454186362
2021-03-26T15:57:30Z,47537.6,25.6,CT_349,48210.52634759469,1,49938.40974962788,32.68765047584853
2021-03-26T15:57:40Z,47500.9,25.6,CT_349,48173.30683468372,1,49901.1902367169,32.660330104311015
2021-03-26T15:57:50Z,47514.6,25.6,CT_349,48187.20076729626,1,49915.08416932944,32.670528305741385
2021-03-26T15:58:00Z,47464.2,25.6,CT_349,48136.08732177274,1,49863.97072380593,32.63301324975058
2021-03-26T15:58:10Z,47537.6,25.6,CT_349,48210.52634759469,1,49938.40974962788,32.68765047584853
2021-03-26T15:58:20Z,47436.8,25.59,CT_349,48097.41690586828,1,49825.30030790147,32.60463524638384
2021-03-26T15:58:30Z,47523.8,25.59,CT_349,48185.62848992982,1,49913.511891963004,32.66937422335088
2021-03-26T15:58:40Z,47478,25.59,CT_349,48139.19066751581,1,49867.074069548995,32.63529078202507
2021-03-26T15:58:50Z,47500.9,25.58,CT_349,48151.51330667359,1,49879.39670870677,32.64433455593625
2021-03-26T15:59:00Z,47523.8,25.58,CT_349,48174.72696483002,1,49902.610366863206,32.66137246296268
2021-03-26T15:59:10Z,47487.1,25.58,CT_349,48137.524289967965,1,49865.40769200115,32.63406783157269
2021-03-26T15:59:20Z,47487.1,25.57,CT_349,48126.63216725588,1,49854.51556928906,32.626074302709036
2021-03-26T15:59:30Z,47487.1,25.57,CT_349,48126.63216725588,1,49854.51556928906,32.626074302709036
2021-03-26T15:59:40Z,47473.4,25.57,CT_349,48112.74766260743,1,49840.63106464061,32.61588515641605
2021-03-26T15:59:50Z,47464.2,25.55,CT_349,48081.65297168048,1,49809.536373713665,32.59306808739077
2021-03-26T16:00:00Z,47473.4,25.55,CT_349,48090.97265277359,1,49818.856054806776,32.59990654723654
