date,E_Conductivity,TempInSitu,Serial,Sp_Conductance,AbsPressure_bar,Sp_Conductance_cal,SalinityInSitu_1pCal
2021-03-26T14:42:00Z,46587.3,24.98,CT_340,46585.96811141303,1,49578.99485697376,32.42397491007153
2021-03-26T14:42:10Z,46615.5,24.98,CT_340,46614.16730520064,1,49607.19405076137,32.444650668221456
2021-03-26T14:42:20Z,46587.3,24.97,CT_340,46575.340493423326,1,49568.36723898406,32.416183223524065
2021-03-26T14:42:30Z,46601.4,24.98,CT_340,46600.06770830684,1,49593.09445386757,32.43431253663154
2021-03-26T14:42:40Z,46601.4,24.98,CT_340,46600.06770830684,1,49593.09445386757,32.43431253663154
2021-03-26T14:42:50Z,46578,24.99,CT_340,46587.29484558208,1,49580.32159114281,32.42494763141852
2021-03-26T14:43:00Z,46563.9,25.02,CT_340,46605.067614391904,1,49598.094359952636,32.437978518901204
2021-03-26T14:43:10Z,46653.1,25.04,CT_340,46715.64243852539,1,49708.669184086124,32.51906934208113
2021-03-26T14:43:20Z,46667.2,25.05,CT_340,46740.4139992428,1,49733.440744803534,32.53723999784689
2021-03-26T14:43:30Z,46639,25.08,CT_340,46744.114254815,1,49737.141000375734,32.53995437604127
2021-03-26T14:43:40Z,46653.1,25.1,CT_340,46779.553664460684,1,49772.580410021415,32.56595324995873
2021-03-26T14:43:50Z,46653.1,25.13,CT_340,46811.522401228984,1,49804.549146789715,32.58940872325089
2021-03-26T14:44:00Z,46704.8,25.14,CT_340,46874.067961924164,1,49867.094707484895,32.63530592820053
2021-03-26T14:44:10Z,46733.1,25.15,CT_340,46913.1479658407,1,49906.17471140143,32.66398867205035
2021-03-26T14:44:20Z,46747.2,25.15,CT_340,46927.30228871502,1,49920.329034275754,32.67437818475361
2021-03-26T14:44:30Z,46718.9,25.17,CT_340,46920.24456485739,1,49913.271310418124,32.66919763233718
2021-03-26T14:44:40Z,46690.7,25.17,CT_340,46891.923031244034,1,49884.949776804766,32.648410163812244
2021-03-26T14:44:50Z,46667.2,25.18,CT_340,46878.98705024507,1,49872.013795805804,32.63891607660487
2021-03-26T14:45:00Z,46681.3,25.18,CT_340,46893.151039458244,1,49886.177785018976,32.649311456316234
2021-03-26T14:45:10Z,46747.2,25.19,CT_340,46970.034662829734,1,49963.061408390466,32.70574755666628
2021-03-26T14:45:20Z,46733.1,25.19,CT_340,46955.867450916594,1,49948.894196477326,32.69534704654017
2021-03-26T14:45:30Z,46718.9,25.19,CT_340,46941.599762323225,1,49934.62650788396,32.68487328887732
2021-03-26T14:45:40Z,46704.8,25.2,CT_340,46938.10838472452,1,49931.13513028525,32.68231038460934
2021-03-26T14:45:50Z,46718.9,25.2,CT_340,46952.278819631094,1,49945.305565191826,32.69271262203559
2021-03-26T14:46:00Z,46690.7,25.2,CT_340,46923.93794981794,1,49916.96469537867,32.67190865694626
2021-03-26T14:46:10Z,46718.9,25.21,CT_340,46962.958849167684,1,49955.985594728416,32.70055295843638
2021-03-26T14:46:20Z,46704.8,25.21,CT_340,46948.785190974246,1,49941.81193653498,32.69014797063849
2021-03-26T14:46:30Z,46747.2,25.21,CT_340,46991.40668795308,1,49984.43343351381,32.72143826722159
2021-03-26T14:46:40Z,46718.9,25.23,CT_340,46984.32182446329,1,49977.34857002402,32.71623664091676
2021-03-26T14:46:50Z,46681.3,25.23,CT_340,46946.508209403866,1,49939.5349549646,32.688476469093104
2021-03-26T14:47:00Z,46690.7,25.23,CT_340,46955.961613168714,1,49948.988358729446,32.69541617175929
2021-03-26T14:47:10Z,46785,25.24,CT_340,47061.49541543154,1,50054.522160992274,32.7729034796257
2021-03-26T14:47:20Z,46718.9,25.24,CT_340,46995.00476999048,1,49988.031515551214,32.72407998697201
2021-03-26T14:47:30Z,46756.7,25.24,CT_340,47033.028164811534,1,50026.054910372266,32.751998855674714
2021-03-26T14:47:40Z,46747.2,25.24,CT_340,47023.472020610476,1,50016.49876617121,32.74498186352978
2021-03-26T14:47:50Z,46733.1,25.24,CT_340,47009.288690796275,1,50002.31543635701,32.73456759724114
2021-03-26T14:48:00Z,46770.8,25.25,CT_340,47057.90728067576,1,50050.93402623649,32.77026845758875
2021-03-26T14:48:10Z,46718.9,25.25,CT_340,47005.688687282716,1,49998.71543284345,32.731924336221
2021-03-26T14:48:20Z,46695.4,25.25,CT_340,46982.044430158705,1,49975.07117571944,32.71456463094619
2021-03-26T14:48:30Z,46756.7,25.25,CT_340,47043.72072640134,1,50036.74747196207,32.75985058382429
2021-03-26T14:48:40Z,46785,25.25,CT_340,47072.19444881027,1,50065.221194371,32.78076073323202
2021-03-26T14:48:50Z,46733.1,25.25,CT_340,47019.97585541723,1,50013.00260097796,32.742414718271476
2021-03-26T14:49:00Z,46747.2,25.25,CT_340,47034.162409691635,1,50027.18915525237,32.752831737044055
2021-03-26T14:49:10Z,46822.8,25.25,CT_340,47110.2264879289,1,50103.25323348963,32.808693400435054
