"Plot Title: CT_326"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20739326, SEN S/N: 20739326)","Temp, °C (LGR S/N: 20739326, SEN S/N: 20739326)"
1,03/26/21 01:46:50 PM,48013.7,22.26
2,03/26/21 01:47:00 PM,47629.2,22.29
3,03/26/21 01:47:10 PM,47211.1,22.31
4,03/26/21 01:47:20 PM,46878.5,22.32
5,03/26/21 01:47:30 PM,46675.9,22.34
6,03/26/21 01:47:40 PM,46511.9,22.34
7,03/26/21 01:47:50 PM,46256.0,22.32
8,03/26/21 01:48:00 PM,46108.1,22.30
9,03/26/21 01:48:10 PM,46038.9,22.29
10,03/26/21 01:48:20 PM,45956.2,22.27
11,03/26/21 01:48:30 PM,45832.5,22.26
12,03/26/21 01:48:40 PM,45732.1,22.26
13,03/26/21 01:48:50 PM,45618.4,22.25
14,03/26/21 01:49:00 PM,45609.3,22.25
15,03/26/21 01:49:10 PM,45554.9,22.25
16,03/26/21 01:49:20 PM,45450.9,22.24
17,03/26/21 01:49:30 PM,45446.4,22.22
18,03/26/21 01:49:40 PM,45387.7,22.20
19,03/26/21 01:49:50 PM,45239.4,22.19
20,03/26/21 01:50:00 PM,45226.0,22.20
21,03/26/21 01:50:10 PM,45221.5,22.20
22,03/26/21 01:50:20 PM,45145.4,22.20
23,03/26/21 01:50:30 PM,45087.3,22.20
24,03/26/21 01:50:40 PM,45056.1,22.20
25,03/26/21 01:50:50 PM,45091.8,22.19
26,03/26/21 01:51:00 PM,45082.9,22.20
27,03/26/21 01:51:10 PM,45007.1,22.19
28,03/26/21 01:51:20 PM,44984.9,22.18
29,03/26/21 01:51:30 PM,44931.6,22.19
30,03/26/21 01:51:40 PM,44918.3,22.19
31,03/26/21 01:51:50 PM,44882.8,22.20
32,03/26/21 01:52:00 PM,44878.4,22.20
33,03/26/21 01:52:10 PM,44834.1,22.20
34,03/26/21 01:52:20 PM,44842.9,22.20
35,03/26/21 01:52:30 PM,44803.1,22.20
36,03/26/21 01:52:40 PM,44767.8,22.21
37,03/26/21 01:52:50 PM,44789.9,22.20
38,03/26/21 01:53:00 PM,44785.5,22.20
39,03/26/21 01:53:10 PM,44688.4,22.21
40,03/26/21 01:53:20 PM,44701.6,22.20
41,03/26/21 01:53:30 PM,44635.6,22.21
42,03/26/21 01:53:40 PM,44662.0,22.21
43,03/26/21 01:53:50 PM,44644.4,22.21
44,03/26/21 01:54:00 PM,44684.0,22.21
45,03/26/21 01:54:10 PM,44622.5,22.22
46,03/26/21 01:54:20 PM,44644.4,22.22
47,03/26/21 01:54:30 PM,44587.3,22.22
48,03/26/21 01:54:40 PM,44622.5,22.22
