"Plot Title: CT_339"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20739339, SEN S/N: 20739339)","Temp, °C (LGR S/N: 20739339, SEN S/N: 20739339)"
1,03/26/21 03:12:00 PM,0.0,23.57
2,03/26/21 03:12:10 PM,0.0,23.60
3,03/26/21 03:12:20 PM,0.0,23.61
4,03/26/21 03:12:30 PM,0.0,23.61
5,03/26/21 03:12:40 PM,0.0,23.62
6,03/26/21 03:12:50 PM,0.0,23.62
7,03/26/21 03:13:00 PM,0.0,23.63
8,03/26/21 03:13:10 PM,0.0,23.65
9,03/26/21 03:13:20 PM,0.0,23.65
10,03/26/21 03:13:30 PM,48673.6,24.42
11,03/26/21 03:13:40 PM,46675.3,24.42
12,03/26/21 03:13:50 PM,46074.4,24.46
13,03/26/21 03:14:00 PM,45680.6,24.48
14,03/26/21 03:14:10 PM,45519.8,24.57
15,03/26/21 03:14:20 PM,45374.4,24.57
16,03/26/21 03:14:30 PM,45205.6,24.54
17,03/26/21 03:14:40 PM,45085.7,24.52
18,03/26/21 03:14:50 PM,44966.4,24.51
19,03/26/21 03:15:00 PM,44899.7,24.51
20,03/26/21 03:15:10 PM,44961.6,24.53
21,03/26/21 03:15:20 PM,44861.7,24.49
22,03/26/21 03:15:30 PM,44842.8,24.59
23,03/26/21 03:15:40 PM,44762.2,24.59
24,03/26/21 03:15:50 PM,44729.1,24.57
25,03/26/21 03:16:00 PM,44663.1,24.56
26,03/26/21 03:16:10 PM,44616.0,24.56
27,03/26/21 03:16:20 PM,44573.7,24.56
28,03/26/21 03:16:30 PM,44508.0,24.56
29,03/26/21 03:16:40 PM,44517.4,24.56
30,03/26/21 03:16:50 PM,44503.3,24.56
31,03/26/21 03:17:00 PM,44512.7,24.56
32,03/26/21 03:17:10 PM,44484.6,24.56
33,03/26/21 03:17:20 PM,44442.5,24.57
34,03/26/21 03:17:30 PM,44456.5,24.57
35,03/26/21 03:17:40 PM,44414.4,24.57
36,03/26/21 03:17:50 PM,44349.1,24.57
37,03/26/21 03:18:00 PM,44321.2,24.57
38,03/26/21 03:18:10 PM,44358.4,24.57
39,03/26/21 03:18:20 PM,44321.2,24.58
40,03/26/21 03:18:30 PM,44330.5,24.58
41,03/26/21 03:18:40 PM,44279.3,24.58
