"Plot Title: CT_325"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20739325, SEN S/N: 20739325)","Temp, °C (LGR S/N: 20739325, SEN S/N: 20739325)"
1,03/26/21 03:38:40 PM,52495.0,24.29
2,03/26/21 03:38:50 PM,50725.6,24.60
3,03/26/21 03:39:00 PM,50810.1,24.63
4,03/26/21 03:39:10 PM,50623.4,24.67
5,03/26/21 03:39:20 PM,50402.0,24.66
6,03/26/21 03:39:30 PM,50134.9,24.67
7,03/26/21 03:39:40 PM,49952.1,24.65
8,03/26/21 03:39:50 PM,49834.8,24.65
9,03/26/21 03:40:00 PM,49682.9,24.67
10,03/26/21 03:40:10 PM,49607.2,24.70
11,03/26/21 03:40:20 PM,49555.0,24.72
12,03/26/21 03:40:30 PM,49433.3,24.74
13,03/26/21 03:40:40 PM,49416.0,24.76
14,03/26/21 03:40:50 PM,49398.6,24.77
15,03/26/21 03:41:00 PM,49358.3,24.79
16,03/26/21 03:41:10 PM,49271.9,24.81
17,03/26/21 03:41:20 PM,49202.9,24.83
18,03/26/21 03:41:30 PM,49185.7,24.84
19,03/26/21 03:41:40 PM,49139.9,24.87
20,03/26/21 03:41:50 PM,49099.8,24.90
21,03/26/21 03:42:00 PM,49122.7,24.92
22,03/26/21 03:42:10 PM,49094.1,24.97
23,03/26/21 03:42:20 PM,49111.3,25.00
24,03/26/21 03:42:30 PM,49151.3,25.08
25,03/26/21 03:42:40 PM,49174.3,25.16
26,03/26/21 03:42:50 PM,49185.7,25.21
27,03/26/21 03:43:00 PM,49122.7,25.24
28,03/26/21 03:43:10 PM,49065.5,25.27
29,03/26/21 03:43:20 PM,49128.4,25.35
30,03/26/21 03:43:30 PM,49180.0,25.42
31,03/26/21 03:43:40 PM,49134.2,25.48
32,03/26/21 03:43:50 PM,49174.3,25.56
33,03/26/21 03:44:00 PM,49168.5,25.61
34,03/26/21 03:44:10 PM,49191.5,25.66
35,03/26/21 03:44:20 PM,49174.3,25.70
36,03/26/21 03:44:30 PM,49197.2,25.74
37,03/26/21 03:44:40 PM,49225.9,25.77
38,03/26/21 03:44:50 PM,49191.5,25.80
39,03/26/21 03:45:00 PM,49174.3,25.83
40,03/26/21 03:45:10 PM,49180.0,25.85
41,03/26/21 03:45:20 PM,49225.9,25.89
42,03/26/21 03:45:30 PM,49375.6,26.11
43,03/26/21 03:45:40 PM,49375.6,26.12
44,03/26/21 03:45:50 PM,49283.4,26.11
45,03/26/21 03:46:00 PM,49381.3,26.13
46,03/26/21 03:46:10 PM,49312.2,26.12
47,03/26/21 03:46:20 PM,49271.9,26.11
48,03/26/21 03:46:30 PM,49277.6,26.10
49,03/26/21 03:46:40 PM,49231.6,26.09
50,03/26/21 03:46:50 PM,49151.3,26.09
51,03/26/21 03:47:00 PM,49168.5,26.09
52,03/26/21 03:47:10 PM,49208.7,26.09
53,03/26/21 03:47:20 PM,49174.3,26.10
54,03/26/21 03:47:30 PM,49128.4,26.10
55,03/26/21 03:47:40 PM,49157.1,26.10
56,03/26/21 03:47:50 PM,49077.0,26.11
57,03/26/21 03:48:00 PM,49122.7,26.10
58,03/26/21 03:48:10 PM,49082.7,26.10
59,03/26/21 03:48:20 PM,49071.2,26.10
60,03/26/21 03:48:30 PM,49082.7,26.05
61,03/26/21 03:48:40 PM,48928.8,26.01
62,03/26/21 03:48:50 PM,48968.6,26.01
63,03/26/21 03:49:00 PM,48860.6,26.01
64,03/26/21 03:49:10 PM,48877.6,26.01
65,03/26/21 03:49:20 PM,48894.7,26.01
66,03/26/21 03:49:30 PM,48866.3,26.01
67,03/26/21 03:49:40 PM,48951.5,26.01
68,03/26/21 03:49:50 PM,48877.6,26.01
69,03/26/21 03:50:00 PM,48877.6,26.01
70,03/26/21 03:50:10 PM,48826.6,26.01
71,03/26/21 03:50:20 PM,48843.6,26.01
72,03/26/21 03:50:30 PM,48843.6,26.01
73,03/26/21 03:50:40 PM,48803.9,26.00
74,03/26/21 03:50:50 PM,48809.6,26.00
75,03/26/21 03:51:00 PM,48753.0,26.00
76,03/26/21 03:51:10 PM,48809.6,26.00
77,03/26/21 03:51:20 PM,48758.6,25.99
78,03/26/21 03:51:30 PM,48719.1,25.99
79,03/26/21 03:51:40 PM,48736.0,25.98
80,03/26/21 03:51:50 PM,48713.4,25.98
81,03/26/21 03:52:00 PM,48685.2,25.96
82,03/26/21 03:52:10 PM,48713.4,25.96
83,03/26/21 03:52:20 PM,48696.5,25.96
84,03/26/21 03:52:30 PM,48640.1,25.95
85,03/26/21 03:52:40 PM,48685.2,25.94
86,03/26/21 03:52:50 PM,48651.4,25.94
87,03/26/21 03:53:00 PM,48612.0,25.94
88,03/26/21 03:53:10 PM,48606.3,25.93
89,03/26/21 03:53:20 PM,48606.3,25.93
90,03/26/21 03:53:30 PM,48645.7,25.93
91,03/26/21 03:53:40 PM,48623.2,25.91
92,03/26/21 03:53:50 PM,48555.7,25.90
93,03/26/21 03:54:00 PM,48555.7,25.90
94,03/26/21 03:54:10 PM,48612.0,25.89
95,03/26/21 03:54:20 PM,48494.0,25.89
96,03/26/21 03:54:30 PM,48567.0,25.88
97,03/26/21 03:54:40 PM,48516.4,25.88
98,03/26/21 03:54:50 PM,48555.7,25.88
99,03/26/21 03:55:00 PM,48555.7,25.82
100,03/26/21 03:55:10 PM,48443.6,25.78
101,03/26/21 03:55:20 PM,48443.6,25.78
102,03/26/21 03:55:30 PM,48421.2,25.78
103,03/26/21 03:55:40 PM,48421.2,25.79
104,03/26/21 03:55:50 PM,48443.6,25.79
105,03/26/21 03:56:00 PM,48415.6,25.78
106,03/26/21 03:56:10 PM,48398.9,25.78
107,03/26/21 03:56:20 PM,48348.6,25.78
108,03/26/21 03:56:30 PM,48326.3,25.78
109,03/26/21 03:56:40 PM,48387.7,25.77
110,03/26/21 03:56:50 PM,48415.6,25.77
111,03/26/21 03:57:00 PM,48415.6,25.77
112,03/26/21 03:57:10 PM,48326.3,25.75
113,03/26/21 03:57:20 PM,48348.6,25.75
114,03/26/21 03:57:30 PM,48382.1,25.75
115,03/26/21 03:57:40 PM,48326.3,25.75
116,03/26/21 03:57:50 PM,48292.9,25.74
