"Plot Title: CT_349"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20739349, SEN S/N: 20739349)","Temp, °C (LGR S/N: 20739349, SEN S/N: 20739349)"
1,03/26/21 03:35:10 PM,0.0,23.68
2,03/26/21 03:35:20 PM,48753.5,24.75
3,03/26/21 03:35:30 PM,48238.1,24.68
4,03/26/21 03:35:40 PM,48051.1,24.67
5,03/26/21 03:35:50 PM,47897.5,24.66
6,03/26/21 03:36:00 PM,47841.9,24.72
7,03/26/21 03:36:10 PM,47832.6,24.75
8,03/26/21 03:36:20 PM,47749.4,24.75
9,03/26/21 03:36:30 PM,47767.9,24.75
10,03/26/21 03:36:40 PM,47763.2,24.89
11,03/26/21 03:36:50 PM,47684.8,24.86
12,03/26/21 03:37:00 PM,47657.1,24.84
13,03/26/21 03:37:10 PM,47675.5,24.83
14,03/26/21 03:37:20 PM,47601.9,24.90
15,03/26/21 03:37:30 PM,47537.6,24.88
16,03/26/21 03:37:40 PM,47546.8,24.87
17,03/26/21 03:37:50 PM,47445.9,24.87
18,03/26/21 03:38:00 PM,47432.2,24.87
19,03/26/21 03:38:10 PM,47478.0,24.89
20,03/26/21 03:38:20 PM,47445.9,24.93
21,03/26/21 03:38:30 PM,47455.1,24.95
22,03/26/21 03:38:40 PM,47450.5,24.97
23,03/26/21 03:38:50 PM,47432.2,25.00
24,03/26/21 03:39:00 PM,47427.6,25.00
25,03/26/21 03:39:10 PM,47413.9,25.00
26,03/26/21 03:39:20 PM,47409.4,25.00
27,03/26/21 03:39:30 PM,47368.3,25.00
28,03/26/21 03:39:40 PM,47418.5,25.00
29,03/26/21 03:39:50 PM,47350.0,25.00
30,03/26/21 03:40:00 PM,47309.0,25.01
31,03/26/21 03:40:10 PM,47368.3,25.01
32,03/26/21 03:40:20 PM,47340.9,25.01
33,03/26/21 03:40:30 PM,47286.2,25.01
34,03/26/21 03:40:40 PM,47299.9,25.03
35,03/26/21 03:40:50 PM,47350.0,25.03
36,03/26/21 03:41:00 PM,47386.5,25.03
37,03/26/21 03:41:10 PM,47304.4,25.03
38,03/26/21 03:41:20 PM,47318.1,25.03
39,03/26/21 03:41:30 PM,47249.8,25.03
40,03/26/21 03:41:40 PM,47299.9,25.04
41,03/26/21 03:41:50 PM,47263.5,25.01
42,03/26/21 03:42:00 PM,47222.5,25.00
43,03/26/21 03:42:10 PM,47195.3,24.98
44,03/26/21 03:42:20 PM,47309.0,25.01
45,03/26/21 03:42:30 PM,47295.3,25.04
46,03/26/21 03:42:40 PM,47290.8,25.08
47,03/26/21 03:42:50 PM,47354.6,25.14
48,03/26/21 03:43:00 PM,47386.5,25.20
49,03/26/21 03:43:10 PM,47372.8,25.24
50,03/26/21 03:43:20 PM,47473.4,25.28
51,03/26/21 03:43:30 PM,47445.9,25.33
52,03/26/21 03:43:40 PM,47533.0,25.39
53,03/26/21 03:43:50 PM,47519.2,25.43
54,03/26/21 03:44:00 PM,47583.5,25.48
55,03/26/21 03:44:10 PM,47592.7,25.52
56,03/26/21 03:44:20 PM,47643.3,25.55
57,03/26/21 03:44:30 PM,47652.5,25.58
58,03/26/21 03:44:40 PM,47615.7,25.62
59,03/26/21 03:44:50 PM,47675.5,25.64
60,03/26/21 03:45:00 PM,47661.7,25.68
61,03/26/21 03:45:10 PM,47684.8,25.70
62,03/26/21 03:45:20 PM,47749.4,25.74
63,03/26/21 03:45:30 PM,47962.6,26.01
64,03/26/21 03:45:40 PM,47934.7,25.99
65,03/26/21 03:45:50 PM,47911.5,25.98
66,03/26/21 03:46:00 PM,47897.5,25.96
67,03/26/21 03:46:10 PM,47920.8,25.96
68,03/26/21 03:46:20 PM,47897.5,25.96
69,03/26/21 03:46:30 PM,47920.8,25.96
70,03/26/21 03:46:40 PM,47869.7,25.96
71,03/26/21 03:46:50 PM,47841.9,25.95
72,03/26/21 03:47:00 PM,47879.0,25.93
73,03/26/21 03:47:10 PM,47841.9,25.95
74,03/26/21 03:47:20 PM,47851.2,25.95
75,03/26/21 03:47:30 PM,47841.9,25.95
76,03/26/21 03:47:40 PM,47841.9,25.93
77,03/26/21 03:47:50 PM,47851.2,25.93
78,03/26/21 03:48:00 PM,47828.0,25.93
79,03/26/21 03:48:10 PM,47874.3,25.95
80,03/26/21 03:48:20 PM,47860.4,25.95
81,03/26/21 03:48:30 PM,47888.3,25.95
82,03/26/21 03:48:40 PM,47735.5,25.88
83,03/26/21 03:48:50 PM,47814.1,25.87
84,03/26/21 03:49:00 PM,47772.5,25.87
85,03/26/21 03:49:10 PM,47809.5,25.87
86,03/26/21 03:49:20 PM,47823.4,25.88
87,03/26/21 03:49:30 PM,47758.6,25.87
88,03/26/21 03:49:40 PM,47772.5,25.87
89,03/26/21 03:49:50 PM,47758.6,25.87
90,03/26/21 03:50:00 PM,47781.7,25.87
91,03/26/21 03:50:10 PM,47730.9,25.87
92,03/26/21 03:50:20 PM,47772.5,25.87
93,03/26/21 03:50:30 PM,47721.7,25.87
94,03/26/21 03:50:40 PM,47758.6,25.87
95,03/26/21 03:50:50 PM,47707.8,25.87
96,03/26/21 03:51:00 PM,47730.9,25.86
97,03/26/21 03:51:10 PM,47781.7,25.86
98,03/26/21 03:51:20 PM,47707.8,25.85
99,03/26/21 03:51:30 PM,47744.8,25.85
100,03/26/21 03:51:40 PM,47730.9,25.85
101,03/26/21 03:51:50 PM,47694.0,25.84
102,03/26/21 03:52:00 PM,47717.1,25.82
103,03/26/21 03:52:10 PM,47680.2,25.82
104,03/26/21 03:52:20 PM,47703.2,25.81
105,03/26/21 03:52:30 PM,47680.2,25.81
106,03/26/21 03:52:40 PM,47680.2,25.80
107,03/26/21 03:52:50 PM,47652.5,25.80
108,03/26/21 03:53:00 PM,47666.3,25.79
109,03/26/21 03:53:10 PM,47703.2,25.79
110,03/26/21 03:53:20 PM,47675.5,25.77
111,03/26/21 03:53:30 PM,47666.3,25.76
112,03/26/21 03:53:40 PM,47638.7,25.76
113,03/26/21 03:53:50 PM,47652.5,25.76
114,03/26/21 03:54:00 PM,47624.9,25.75
115,03/26/21 03:54:10 PM,47638.7,25.75
116,03/26/21 03:54:20 PM,47638.7,25.74
117,03/26/21 03:54:30 PM,47638.7,25.74
118,03/26/21 03:54:40 PM,47638.7,25.73
119,03/26/21 03:54:50 PM,47624.9,25.73
120,03/26/21 03:55:00 PM,47689.4,25.64
121,03/26/21 03:55:10 PM,47542.2,25.60
122,03/26/21 03:55:20 PM,47542.2,25.62
123,03/26/21 03:55:30 PM,47514.6,25.62
124,03/26/21 03:55:40 PM,47514.6,25.62
125,03/26/21 03:55:50 PM,47528.4,25.62
126,03/26/21 03:56:00 PM,47528.4,25.63
127,03/26/21 03:56:10 PM,47537.6,25.63
128,03/26/21 03:56:20 PM,47514.6,25.62
129,03/26/21 03:56:30 PM,47537.6,25.62
130,03/26/21 03:56:40 PM,47500.9,25.62
131,03/26/21 03:56:50 PM,47500.9,25.62
132,03/26/21 03:57:00 PM,47523.8,25.62
133,03/26/21 03:57:10 PM,47487.1,25.62
134,03/26/21 03:57:20 PM,47537.6,25.62
135,03/26/21 03:57:30 PM,47537.6,25.60
136,03/26/21 03:57:40 PM,47500.9,25.60
137,03/26/21 03:57:50 PM,47514.6,25.60
138,03/26/21 03:58:00 PM,47464.2,25.60
139,03/26/21 03:58:10 PM,47537.6,25.60
140,03/26/21 03:58:20 PM,47436.8,25.59
141,03/26/21 03:58:30 PM,47523.8,25.59
142,03/26/21 03:58:40 PM,47478.0,25.59
143,03/26/21 03:58:50 PM,47500.9,25.58
144,03/26/21 03:59:00 PM,47523.8,25.58
145,03/26/21 03:59:10 PM,47487.1,25.58
146,03/26/21 03:59:20 PM,47487.1,25.57
147,03/26/21 03:59:30 PM,47487.1,25.57
148,03/26/21 03:59:40 PM,47473.4,25.57
149,03/26/21 03:59:50 PM,47464.2,25.55
150,03/26/21 04:00:00 PM,47473.4,25.55
151,03/26/21 04:00:10 PM,47464.2,25.55
152,03/26/21 04:00:20 PM,47450.5,25.54
153,03/26/21 04:00:30 PM,47436.8,25.54
154,03/26/21 04:00:40 PM,47436.8,25.53
155,03/26/21 04:00:50 PM,47464.2,25.53
156,03/26/21 04:01:00 PM,47386.5,25.53
157,03/26/21 04:01:10 PM,47436.8,25.52
158,03/26/21 04:01:20 PM,47450.5,25.52
159,03/26/21 04:01:30 PM,47450.5,25.52
160,03/26/21 04:01:40 PM,47427.6,25.50
