"Plot Title: CT_353"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20739353, SEN S/N: 20739353)","Temp, °C (LGR S/N: 20739353, SEN S/N: 20739353)"
1,03/26/21 03:37:50 PM,47172.3,24.62
2,03/26/21 03:38:00 PM,45249.6,24.60
3,03/26/21 03:38:10 PM,44570.1,24.57
4,03/26/21 03:38:20 PM,44170.3,24.57
5,03/26/21 03:38:30 PM,43919.7,24.61
6,03/26/21 03:38:40 PM,43700.7,24.64
7,03/26/21 03:38:50 PM,43591.9,24.73
8,03/26/21 03:39:00 PM,43375.6,24.71
9,03/26/21 03:39:10 PM,43222.8,24.70
10,03/26/21 03:39:20 PM,43169.3,24.71
11,03/26/21 03:39:30 PM,43075.0,24.73
12,03/26/21 03:39:40 PM,43034.0,24.76
13,03/26/21 03:39:50 PM,42968.7,24.78
14,03/26/21 03:40:00 PM,42932.0,24.78
15,03/26/21 03:40:10 PM,42871.0,24.79
16,03/26/21 03:40:20 PM,42810.1,24.79
17,03/26/21 03:40:30 PM,42789.8,24.79
18,03/26/21 03:40:40 PM,42729.1,24.79
19,03/26/21 03:40:50 PM,42660.5,24.79
20,03/26/21 03:41:00 PM,42656.5,24.79
21,03/26/21 03:41:10 PM,42652.5,24.79
22,03/26/21 03:41:20 PM,42560.0,24.78
23,03/26/21 03:41:30 PM,42555.9,24.79
24,03/26/21 03:41:40 PM,42576.0,24.82
25,03/26/21 03:41:50 PM,42547.9,24.88
26,03/26/21 03:42:00 PM,42588.1,24.90
27,03/26/21 03:42:10 PM,42612.2,24.99
28,03/26/21 03:42:20 PM,42568.0,25.06
29,03/26/21 03:42:30 PM,42612.2,25.16
30,03/26/21 03:42:40 PM,42684.7,25.24
31,03/26/21 03:42:50 PM,42668.6,25.28
32,03/26/21 03:43:00 PM,42664.6,25.36
33,03/26/21 03:43:10 PM,42656.5,25.39
34,03/26/21 03:43:20 PM,42680.7,25.44
35,03/26/21 03:43:30 PM,42648.4,25.49
36,03/26/21 03:43:40 PM,42668.6,25.55
37,03/26/21 03:43:50 PM,42704.9,25.59
38,03/26/21 03:44:00 PM,42648.4,25.64
39,03/26/21 03:44:10 PM,42769.6,25.75
40,03/26/21 03:44:20 PM,42725.1,25.85
41,03/26/21 03:44:30 PM,42733.2,25.90
42,03/26/21 03:44:40 PM,42668.6,25.91
43,03/26/21 03:44:50 PM,42692.8,25.91
44,03/26/21 03:45:00 PM,42700.9,25.92
45,03/26/21 03:45:10 PM,42700.9,25.93
46,03/26/21 03:45:20 PM,42688.8,25.95
47,03/26/21 03:45:30 PM,42773.6,26.01
48,03/26/21 03:45:40 PM,42729.1,26.01
49,03/26/21 03:45:50 PM,42676.7,25.99
50,03/26/21 03:46:00 PM,42692.8,25.97
51,03/26/21 03:46:10 PM,42700.9,25.97
52,03/26/21 03:46:20 PM,42664.6,25.96
53,03/26/21 03:46:30 PM,42676.7,25.96
54,03/26/21 03:46:40 PM,42648.4,25.96
55,03/26/21 03:46:50 PM,42624.3,25.96
56,03/26/21 03:47:00 PM,42588.1,25.96
57,03/26/21 03:47:10 PM,42636.4,25.96
58,03/26/21 03:47:20 PM,42560.0,25.96
59,03/26/21 03:47:30 PM,42588.1,25.96
60,03/26/21 03:47:40 PM,42543.9,25.95
61,03/26/21 03:47:50 PM,42572.0,25.96
62,03/26/21 03:48:00 PM,42584.1,25.95
63,03/26/21 03:48:10 PM,42535.9,25.95
64,03/26/21 03:48:20 PM,42543.9,25.93
65,03/26/21 03:48:30 PM,42507.8,25.88
66,03/26/21 03:48:40 PM,42475.8,25.87
67,03/26/21 03:48:50 PM,42535.9,25.87
68,03/26/21 03:49:00 PM,42523.9,25.87
69,03/26/21 03:49:10 PM,42523.9,25.87
70,03/26/21 03:49:20 PM,42495.8,25.87
71,03/26/21 03:49:30 PM,42495.8,25.87
72,03/26/21 03:49:40 PM,42459.8,25.87
73,03/26/21 03:49:50 PM,42487.8,25.88
74,03/26/21 03:50:00 PM,42487.8,25.88
75,03/26/21 03:50:10 PM,42435.8,25.88
76,03/26/21 03:50:20 PM,42451.8,25.87
77,03/26/21 03:50:30 PM,42435.8,25.87
78,03/26/21 03:50:40 PM,42399.9,25.87
79,03/26/21 03:50:50 PM,42423.8,25.87
80,03/26/21 03:51:00 PM,42423.8,25.87
81,03/26/21 03:51:10 PM,42423.8,25.86
82,03/26/21 03:51:20 PM,42411.8,25.86
83,03/26/21 03:51:30 PM,42375.9,25.85
84,03/26/21 03:51:40 PM,42475.8,25.85
85,03/26/21 03:51:50 PM,42375.9,25.84
86,03/26/21 03:52:00 PM,42411.8,25.84
87,03/26/21 03:52:10 PM,42411.8,25.82
88,03/26/21 03:52:20 PM,42368.0,25.82
89,03/26/21 03:52:30 PM,42368.0,25.82
90,03/26/21 03:52:40 PM,42340.1,25.81
91,03/26/21 03:52:50 PM,42340.1,25.81
92,03/26/21 03:53:00 PM,42368.0,25.80
93,03/26/21 03:53:10 PM,42340.1,25.80
94,03/26/21 03:53:20 PM,42340.1,25.80
95,03/26/21 03:53:30 PM,42292.4,25.79
96,03/26/21 03:53:40 PM,42328.1,25.79
97,03/26/21 03:53:50 PM,42256.6,25.77
98,03/26/21 03:54:00 PM,42320.2,25.76
99,03/26/21 03:54:10 PM,42236.8,25.76
100,03/26/21 03:54:20 PM,42320.2,25.76
101,03/26/21 03:54:30 PM,42280.4,25.75
102,03/26/21 03:54:40 PM,42280.4,25.75
