"Plot Title: CT_322"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20739322, SEN S/N: 20739322)","Temp, °C (LGR S/N: 20739322, SEN S/N: 20739322)"
1,03/26/21 03:09:30 PM,0.0,23.55
2,03/26/21 03:09:40 PM,0.0,23.54
3,03/26/21 03:09:50 PM,0.0,23.52
4,03/26/21 03:10:00 PM,0.0,23.52
5,03/26/21 03:10:10 PM,0.0,23.54
6,03/26/21 03:10:20 PM,0.0,23.54
7,03/26/21 03:10:30 PM,0.0,23.54
8,03/26/21 03:10:40 PM,0.0,23.54
9,03/26/21 03:10:50 PM,0.0,23.55
10,03/26/21 03:11:00 PM,0.0,23.56
11,03/26/21 03:11:10 PM,0.0,23.57
12,03/26/21 03:11:20 PM,0.0,23.57
13,03/26/21 03:11:30 PM,0.0,23.60
14,03/26/21 03:11:40 PM,0.0,23.60
15,03/26/21 03:11:50 PM,0.0,23.60
16,03/26/21 03:12:00 PM,0.0,23.62
17,03/26/21 03:12:10 PM,0.0,23.62
18,03/26/21 03:12:20 PM,0.0,23.63
19,03/26/21 03:12:30 PM,0.0,23.63
20,03/26/21 03:12:40 PM,0.0,23.64
21,03/26/21 03:12:50 PM,0.0,23.66
22,03/26/21 03:13:00 PM,0.0,23.67
23,03/26/21 03:13:10 PM,0.0,23.67
24,03/26/21 03:13:20 PM,47664.1,24.42
25,03/26/21 03:13:30 PM,47239.9,24.64
26,03/26/21 03:13:40 PM,47211.8,24.65
27,03/26/21 03:13:50 PM,47155.7,24.62
28,03/26/21 03:14:00 PM,47067.1,24.59
29,03/26/21 03:14:10 PM,47025.2,24.63
30,03/26/21 03:14:20 PM,47095.0,24.70
31,03/26/21 03:14:30 PM,47062.4,24.67
32,03/26/21 03:14:40 PM,47001.9,24.64
33,03/26/21 03:14:50 PM,46946.2,24.63
34,03/26/21 03:15:00 PM,46955.4,24.63
35,03/26/21 03:15:10 PM,47057.8,24.73
36,03/26/21 03:15:20 PM,47001.9,24.70
37,03/26/21 03:15:30 PM,47025.2,24.70
38,03/26/21 03:15:40 PM,46974.0,24.68
39,03/26/21 03:15:50 PM,46997.3,24.67
40,03/26/21 03:16:00 PM,46960.1,24.65
41,03/26/21 03:16:10 PM,46983.3,24.65
42,03/26/21 03:16:20 PM,46997.3,24.64
43,03/26/21 03:16:30 PM,46918.3,24.64
44,03/26/21 03:16:40 PM,46960.1,24.64
45,03/26/21 03:16:50 PM,46983.3,24.64
46,03/26/21 03:17:00 PM,46960.1,24.64
47,03/26/21 03:17:10 PM,46946.2,24.64
48,03/26/21 03:17:20 PM,47025.2,24.64
49,03/26/21 03:17:30 PM,46974.0,24.64
50,03/26/21 03:17:40 PM,47001.9,24.64
51,03/26/21 03:17:50 PM,47001.9,24.64
52,03/26/21 03:18:00 PM,47001.9,24.64
53,03/26/21 03:18:10 PM,47015.9,24.65
54,03/26/21 03:18:20 PM,47015.9,24.65
55,03/26/21 03:18:30 PM,47015.9,24.65
56,03/26/21 03:18:40 PM,47095.0,24.65
57,03/26/21 03:18:50 PM,47081.0,24.65
58,03/26/21 03:19:00 PM,47095.0,24.67
59,03/26/21 03:19:10 PM,47109.0,24.67
60,03/26/21 03:19:20 PM,47109.0,24.67
61,03/26/21 03:19:30 PM,47113.7,24.67
62,03/26/21 03:19:40 PM,47123.0,24.67
63,03/26/21 03:19:50 PM,47127.7,24.67
64,03/26/21 03:20:00 PM,47113.7,24.65
65,03/26/21 03:20:10 PM,47104.4,24.65
66,03/26/21 03:20:20 PM,47113.7,24.65
67,03/26/21 03:20:30 PM,47104.4,24.64
68,03/26/21 03:20:40 PM,47169.7,24.64
69,03/26/21 03:20:50 PM,47132.4,24.64
70,03/26/21 03:21:00 PM,47221.2,24.68
71,03/26/21 03:21:10 PM,47225.9,24.74
72,03/26/21 03:21:20 PM,47314.9,24.82
73,03/26/21 03:21:30 PM,47329.0,24.78
74,03/26/21 03:21:40 PM,47460.8,24.87
75,03/26/21 03:21:50 PM,47735.4,25.16
76,03/26/21 03:22:00 PM,47630.9,25.14
77,03/26/21 03:22:10 PM,47659.4,25.13
78,03/26/21 03:22:20 PM,47593.0,25.12
79,03/26/21 03:22:30 PM,47607.3,25.10
80,03/26/21 03:22:40 PM,47645.2,25.10
81,03/26/21 03:22:50 PM,47621.5,25.10
82,03/26/21 03:23:00 PM,47626.2,25.12
83,03/26/21 03:23:10 PM,47649.9,25.12
84,03/26/21 03:23:20 PM,47640.4,25.12
85,03/26/21 03:23:30 PM,47664.1,25.12
86,03/26/21 03:23:40 PM,47654.6,25.13
87,03/26/21 03:23:50 PM,47692.6,25.14
88,03/26/21 03:24:00 PM,47744.9,25.14
89,03/26/21 03:24:10 PM,47692.6,25.15
90,03/26/21 03:24:20 PM,47668.9,25.14
91,03/26/21 03:24:30 PM,47749.6,25.14
92,03/26/21 03:24:40 PM,47659.4,25.14
93,03/26/21 03:24:50 PM,47645.2,25.13
94,03/26/21 03:25:00 PM,47683.1,25.13
95,03/26/21 03:25:10 PM,47649.9,25.12
96,03/26/21 03:25:20 PM,47673.6,25.10
97,03/26/21 03:25:30 PM,47664.1,25.09
98,03/26/21 03:25:40 PM,47673.6,25.09
99,03/26/21 03:25:50 PM,47649.9,25.09
100,03/26/21 03:26:00 PM,47626.2,25.07
101,03/26/21 03:26:10 PM,47664.1,25.07
102,03/26/21 03:26:20 PM,47588.3,25.06
103,03/26/21 03:26:30 PM,47640.4,25.04
104,03/26/21 03:26:40 PM,47616.7,25.03
105,03/26/21 03:26:50 PM,47640.4,25.02
106,03/26/21 03:27:00 PM,47616.7,25.01
107,03/26/21 03:27:10 PM,47602.5,25.01
108,03/26/21 03:27:20 PM,47630.9,25.01
109,03/26/21 03:27:30 PM,47569.4,24.99
110,03/26/21 03:27:40 PM,47616.7,24.99
111,03/26/21 03:27:50 PM,47645.2,24.99
112,03/26/21 03:28:00 PM,47645.2,25.01
113,03/26/21 03:28:10 PM,47645.2,25.02
114,03/26/21 03:28:20 PM,47645.2,25.04
115,03/26/21 03:28:30 PM,47659.4,25.08
116,03/26/21 03:28:40 PM,47702.1,25.12
117,03/26/21 03:28:50 PM,47711.6,25.13
118,03/26/21 03:29:00 PM,47725.9,25.14
119,03/26/21 03:29:10 PM,47716.3,25.15
120,03/26/21 03:29:20 PM,47740.1,25.16
121,03/26/21 03:29:30 PM,47806.7,25.18
122,03/26/21 03:29:40 PM,47782.9,25.20
123,03/26/21 03:29:50 PM,47835.3,25.23
124,03/26/21 03:30:00 PM,47835.3,25.25
125,03/26/21 03:30:10 PM,47864.0,25.26
126,03/26/21 03:30:20 PM,47873.5,25.29
127,03/26/21 03:30:30 PM,47878.3,25.30
128,03/26/21 03:30:40 PM,47825.8,25.32
129,03/26/21 03:30:50 PM,47902.1,25.34
130,03/26/21 03:31:00 PM,47892.6,25.36
131,03/26/21 03:31:10 PM,47945.2,25.36
132,03/26/21 03:31:20 PM,47868.7,25.38
133,03/26/21 03:31:30 PM,47906.9,25.40
134,03/26/21 03:31:40 PM,1820.3,23.52
135,03/26/21 03:31:50 PM,987.4,23.11
136,03/26/21 03:32:00 PM,665.2,22.98
137,03/26/21 03:32:10 PM,710.8,23.06
138,03/26/21 03:32:20 PM,738.9,23.11
139,03/26/21 03:32:30 PM,0.0,23.44
140,03/26/21 03:32:40 PM,0.0,23.61
141,03/26/21 03:32:50 PM,0.0,23.67
142,03/26/21 03:33:00 PM,0.0,23.71
143,03/26/21 03:33:10 PM,0.0,23.69
144,03/26/21 03:33:20 PM,0.0,23.68
145,03/26/21 03:33:30 PM,0.0,23.63
146,03/26/21 03:33:40 PM,0.0,23.60
147,03/26/21 03:33:50 PM,0.0,23.57
148,03/26/21 03:34:00 PM,0.0,23.55
149,03/26/21 03:34:10 PM,0.0,23.50
150,03/26/21 03:34:20 PM,0.0,23.45
151,03/26/21 03:34:30 PM,0.0,23.43
