"Plot Title: CT_342"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20739342, SEN S/N: 20739342)","Temp, °C (LGR S/N: 20739342, SEN S/N: 20739342)"
1,03/26/21 03:10:20 PM,0.0,23.72
2,03/26/21 03:10:30 PM,0.0,23.72
3,03/26/21 03:10:40 PM,0.0,23.73
4,03/26/21 03:10:50 PM,0.0,23.74
5,03/26/21 03:11:00 PM,0.0,23.76
6,03/26/21 03:11:10 PM,0.0,23.77
7,03/26/21 03:11:20 PM,0.0,23.78
8,03/26/21 03:11:30 PM,0.0,23.78
9,03/26/21 03:11:40 PM,0.0,23.79
10,03/26/21 03:11:50 PM,0.0,23.80
11,03/26/21 03:12:00 PM,0.0,23.82
12,03/26/21 03:12:10 PM,0.0,23.83
13,03/26/21 03:12:20 PM,0.0,23.85
14,03/26/21 03:12:30 PM,0.0,23.87
15,03/26/21 03:12:40 PM,0.0,23.88
16,03/26/21 03:12:50 PM,0.0,23.89
17,03/26/21 03:13:00 PM,0.0,23.90
18,03/26/21 03:13:10 PM,0.0,23.91
19,03/26/21 03:13:20 PM,0.0,23.91
20,03/26/21 03:13:30 PM,48737.0,24.76
21,03/26/21 03:13:40 PM,48913.5,24.75
22,03/26/21 03:13:50 PM,48752.5,24.71
23,03/26/21 03:14:00 PM,48700.8,24.71
24,03/26/21 03:14:10 PM,48711.1,24.86
25,03/26/21 03:14:20 PM,48582.1,24.85
26,03/26/21 03:14:30 PM,48540.9,24.81
27,03/26/21 03:14:40 PM,48448.5,24.78
28,03/26/21 03:14:50 PM,48315.5,24.77
29,03/26/21 03:15:00 PM,48376.8,24.78
30,03/26/21 03:15:10 PM,48330.8,24.80
31,03/26/21 03:15:20 PM,48381.9,24.85
32,03/26/21 03:15:30 PM,48346.1,24.86
33,03/26/21 03:15:40 PM,48289.9,24.86
34,03/26/21 03:15:50 PM,48274.7,24.85
35,03/26/21 03:16:00 PM,48218.6,24.83
36,03/26/21 03:16:10 PM,48177.9,24.83
37,03/26/21 03:16:20 PM,48142.4,24.82
38,03/26/21 03:16:30 PM,48147.5,24.82
39,03/26/21 03:16:40 PM,48132.2,24.82
40,03/26/21 03:16:50 PM,48142.4,24.82
41,03/26/21 03:17:00 PM,48091.7,24.82
42,03/26/21 03:17:10 PM,48117.0,24.82
43,03/26/21 03:17:20 PM,48066.4,24.82
44,03/26/21 03:17:30 PM,48117.0,24.83
45,03/26/21 03:17:40 PM,48061.3,24.83
46,03/26/21 03:17:50 PM,48030.9,24.82
47,03/26/21 03:18:00 PM,48030.9,24.83
48,03/26/21 03:18:10 PM,48000.6,24.83
49,03/26/21 03:18:20 PM,48066.4,24.83
50,03/26/21 03:18:30 PM,48010.7,24.83
51,03/26/21 03:18:40 PM,48015.8,24.83
52,03/26/21 03:18:50 PM,48020.8,24.83
53,03/26/21 03:19:00 PM,48020.8,24.83
54,03/26/21 03:19:10 PM,47955.2,24.83
55,03/26/21 03:19:20 PM,47990.5,24.83
56,03/26/21 03:19:30 PM,48041.1,24.83
57,03/26/21 03:19:40 PM,47940.1,24.83
58,03/26/21 03:19:50 PM,47960.2,24.83
59,03/26/21 03:20:00 PM,47930.0,24.83
60,03/26/21 03:20:10 PM,47945.1,24.83
61,03/26/21 03:20:20 PM,47919.9,24.83
62,03/26/21 03:20:30 PM,47935.0,24.83
63,03/26/21 03:20:40 PM,47869.6,24.85
64,03/26/21 03:20:50 PM,47940.1,24.87
65,03/26/21 03:21:00 PM,47995.6,24.92
66,03/26/21 03:21:10 PM,48025.9,24.98
67,03/26/21 03:21:20 PM,48025.9,25.03
68,03/26/21 03:21:30 PM,48051.2,25.09
69,03/26/21 03:21:40 PM,48066.4,25.05
70,03/26/21 03:21:50 PM,48208.5,25.30
71,03/26/21 03:22:00 PM,48193.2,25.29
72,03/26/21 03:22:10 PM,48193.2,25.27
73,03/26/21 03:22:20 PM,48122.1,25.26
74,03/26/21 03:22:30 PM,48147.5,25.26
75,03/26/21 03:22:40 PM,48193.2,25.26
76,03/26/21 03:22:50 PM,48162.7,25.26
77,03/26/21 03:23:00 PM,48112.0,25.26
78,03/26/21 03:23:10 PM,48127.2,25.27
79,03/26/21 03:23:20 PM,48106.9,25.27
80,03/26/21 03:23:30 PM,48142.4,25.29
81,03/26/21 03:23:40 PM,48096.8,25.29
82,03/26/21 03:23:50 PM,48122.1,25.30
83,03/26/21 03:24:00 PM,48167.8,25.31
84,03/26/21 03:24:10 PM,48112.0,25.32
85,03/26/21 03:24:20 PM,48127.2,25.34
86,03/26/21 03:24:30 PM,48167.8,25.34
87,03/26/21 03:24:40 PM,48127.2,25.34
88,03/26/21 03:24:50 PM,48127.2,25.34
89,03/26/21 03:25:00 PM,48137.3,25.32
90,03/26/21 03:25:10 PM,48066.4,25.32
91,03/26/21 03:25:20 PM,48132.2,25.31
92,03/26/21 03:25:30 PM,48117.0,25.30
93,03/26/21 03:25:40 PM,48117.0,25.30
94,03/26/21 03:25:50 PM,48117.0,25.29
95,03/26/21 03:26:00 PM,48061.3,25.29
96,03/26/21 03:26:10 PM,48076.5,25.27
97,03/26/21 03:26:20 PM,48030.9,25.27
98,03/26/21 03:26:30 PM,48015.8,25.26
99,03/26/21 03:26:40 PM,48015.8,25.26
100,03/26/21 03:26:50 PM,47995.6,25.25
101,03/26/21 03:27:00 PM,47995.6,25.25
102,03/26/21 03:27:10 PM,47995.6,25.24
103,03/26/21 03:27:20 PM,48010.7,25.24
104,03/26/21 03:27:30 PM,48010.7,25.24
105,03/26/21 03:27:40 PM,47975.4,25.23
106,03/26/21 03:27:50 PM,48046.1,25.23
107,03/26/21 03:28:00 PM,47995.6,25.23
108,03/26/21 03:28:10 PM,47930.0,25.21
109,03/26/21 03:28:20 PM,47950.1,25.21
110,03/26/21 03:28:30 PM,47930.0,25.20
111,03/26/21 03:28:40 PM,47914.9,25.19
112,03/26/21 03:28:50 PM,47950.1,25.18
113,03/26/21 03:29:00 PM,47924.9,25.20
114,03/26/21 03:29:10 PM,48000.6,25.21
115,03/26/21 03:29:20 PM,48005.7,25.25
116,03/26/21 03:29:30 PM,48015.8,25.30
117,03/26/21 03:29:40 PM,48041.1,25.34
118,03/26/21 03:29:50 PM,48036.0,25.36
119,03/26/21 03:30:00 PM,48020.8,25.39
120,03/26/21 03:30:10 PM,48091.7,25.40
121,03/26/21 03:30:20 PM,48086.6,25.41
122,03/26/21 03:30:30 PM,48061.3,25.40
123,03/26/21 03:30:40 PM,48036.0,25.40
124,03/26/21 03:30:50 PM,48036.0,25.39
125,03/26/21 03:31:00 PM,48086.6,25.41
126,03/26/21 03:31:10 PM,48086.6,25.43
127,03/26/21 03:31:20 PM,48096.8,25.45
128,03/26/21 03:31:30 PM,48041.1,25.43
129,03/26/21 03:31:40 PM,48264.5,25.47
130,03/26/21 03:31:50 PM,48264.5,25.47
131,03/26/21 03:32:00 PM,48259.4,25.47
132,03/26/21 03:32:10 PM,48330.8,25.47
133,03/26/21 03:32:20 PM,48289.9,25.47
134,03/26/21 03:32:30 PM,48284.8,25.48
135,03/26/21 03:32:40 PM,2358.1,23.91
136,03/26/21 03:32:50 PM,1858.1,23.73
137,03/26/21 03:33:00 PM,1742.6,23.76
138,03/26/21 03:33:10 PM,1735.9,23.76
139,03/26/21 03:33:20 PM,1701.5,23.78
140,03/26/21 03:33:30 PM,1653.3,23.78
141,03/26/21 03:33:40 PM,1637.0,23.78
142,03/26/21 03:33:50 PM,1617.4,23.74
143,03/26/21 03:34:00 PM,1596.8,23.73
144,03/26/21 03:34:10 PM,1581.1,23.69
145,03/26/21 03:34:20 PM,1572.8,23.67
146,03/26/21 03:34:30 PM,1567.8,23.64
147,03/26/21 03:34:40 PM,1553.8,23.62
148,03/26/21 03:34:50 PM,1533.3,23.58
149,03/26/21 03:35:00 PM,1515.5,23.56
150,03/26/21 03:35:10 PM,1498.3,23.53
151,03/26/21 03:35:20 PM,1481.1,23.52
152,03/26/21 03:35:30 PM,1464.5,23.50
153,03/26/21 03:35:40 PM,1449.6,23.49
154,03/26/21 03:35:50 PM,1433.0,23.47
155,03/26/21 03:36:00 PM,1417.6,23.46
156,03/26/21 03:36:10 PM,1403.3,23.45
157,03/26/21 03:36:20 PM,1387.9,23.45
158,03/26/21 03:36:30 PM,1374.2,23.44
159,03/26/21 03:36:40 PM,1361.0,23.44
160,03/26/21 03:36:50 PM,1348.4,23.44
161,03/26/21 03:37:00 PM,1337.5,23.42
162,03/26/21 03:37:10 PM,1326.0,23.42
163,03/26/21 03:37:20 PM,1315.6,23.41
164,03/26/21 03:37:30 PM,1305.8,23.41
165,03/26/21 03:37:40 PM,1296.0,23.40
166,03/26/21 03:37:50 PM,1286.2,23.39
167,03/26/21 03:38:00 PM,1278.0,23.39
168,03/26/21 03:38:10 PM,1268.8,23.38
169,03/26/21 03:38:20 PM,1260.7,23.38
