date,E_Conductivity,TempInSitu,Serial,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,A,B,Sp_Conductance,Sp_Conductance_cal,SalinityInSitu_2pCal
2021-01-18T06:32:00Z,1394.5,23.6,CT_324,NA,NA,NA,NA,1,4.943662560000003,132.6,1350.8365490279518,1412.8631587204404,0.7061875352138115
2021-01-18T06:33:00Z,1394.5,23.6,CT_324,NA,NA,NA,NA,1,4.943662560000003,132.6,1350.8365490279518,1412.8631587204404,0.7061875352138115
2021-01-18T06:34:00Z,1394.5,23.6,CT_324,NA,NA,NA,NA,1,4.943662560000003,132.6,1350.8365490279518,1412.8631587204404,0.7061875352138115
2021-01-18T06:35:00Z,1394.5,23.6,CT_324,NA,NA,NA,NA,1,4.943662560000003,132.6,1350.8365490279518,1412.8631587204404,0.7061875352138115
2021-01-18T06:36:00Z,1394.5,23.6,CT_324,NA,NA,NA,NA,1,4.943662560000003,132.6,1350.8365490279518,1412.8631587204404,0.7061875352138115
2021-01-18T06:37:00Z,1394.5,23.6,CT_324,NA,NA,NA,NA,1,4.943662560000003,132.6,1350.8365490279518,1412.8631587204404,0.7061875352138115
2021-01-18T06:38:00Z,1395.1,23.6,CT_324,NA,NA,NA,NA,1,4.943662560000003,132.6,1351.4177623154503,1413.478944478459,0.7065093974346244
2021-01-18T06:39:00Z,1394.5,23.6,CT_324,NA,NA,NA,NA,1,4.943662560000003,132.6,1350.8365490279518,1412.8631587204404,0.7061875352138115
2021-01-18T06:40:00Z,1395.1,23.6,CT_324,NA,NA,NA,NA,1,4.943662560000003,132.6,1351.4177623154503,1413.478944478459,0.7065093974346244
2021-01-20T13:23:00Z,1826.7,23,CT_324,NA,NA,NA,NA,1,4.118214,132,1744.8880994036558,1830.3541863101573,0.9262228847398964
2021-01-20T13:24:00Z,1826.2,23,CT_324,NA,NA,NA,NA,1,4.118214,132,1744.4104927634294,1829.848170062228,0.9259541195248192
2021-01-20T13:25:00Z,1826.2,23.01,CT_324,NA,NA,NA,NA,1,4.131966543600002,132.01,1744.8194950590944,1830.2815011544187,0.9261842784910739
2021-01-20T13:26:00Z,1826.7,23.01,CT_324,NA,NA,NA,NA,1,4.131966543600002,132.01,1745.2972136811127,1830.7876360451837,0.9264531107863322
2021-01-20T13:27:00Z,1827.3,23.01,CT_324,NA,NA,NA,NA,1,4.131966543600002,132.01,1745.8704760275343,1831.3949979141012,0.9267757158047545
2021-01-20T13:28:00Z,1826.7,23.01,CT_324,NA,NA,NA,NA,1,4.131966543600002,132.01,1745.2972136811127,1830.7876360451837,0.9264531107863322
