date,E_Conductivity,TempInSitu,Serial,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,A,B,Sp_Conductance,Sp_Conductance_cal,SalinityInSitu_1pCal
2021-01-18T06:23:00Z,39824.2,23.67,CT_324,NA,NA,NA,NA,1,5.040004100400003,132.67000000000002,38640.064924002254,40919.04419392618,26.170841421813826
2021-01-18T06:24:00Z,39859.2,23.67,CT_324,NA,NA,NA,NA,1,5.040004100400003,132.67000000000002,38674.02423196927,40953.003501893196,26.194983259186753
2021-01-18T06:25:00Z,39808.6,23.68,CT_324,NA,NA,NA,NA,1,5.0537678464,132.68,38633.90119545452,40912.88046537845,26.16645992181355
2021-01-18T06:26:00Z,39800.9,23.68,CT_324,NA,NA,NA,NA,1,5.0537678464,132.68,38626.42841220656,40905.407682130484,26.161148011176497
2021-01-18T06:27:00Z,39785.4,23.69,CT_324,NA,NA,NA,NA,1,5.067531759600002,132.69,38620.35383072618,40899.3331006501,26.156830098351772
2021-01-18T06:28:00Z,39742.7,23.71,CT_324,NA,NA,NA,NA,1,5.095060087600001,132.71,38596.82357011815,40875.80284004207,26.14010531516529
2021-01-18T06:29:00Z,39700.2,23.71,CT_324,NA,NA,NA,NA,1,5.095060087600001,132.71,38555.54894605561,40834.52821597954,26.110771747458323
2021-01-20T13:03:00Z,36319.4,23.39,CT_324,NA,NA,NA,NA,1,4.654687095600001,132.39,35010.58187137486,37289.561141298786,23.608211106362283
2021-01-20T13:04:00Z,36246.9,23.33,CT_324,NA,NA,NA,NA,1,4.572136220399997,132.32999999999998,34891.82203398469,37170.801303908614,23.52495347648796
2021-01-20T13:05:00Z,36270,23.29,CT_324,NA,NA,NA,NA,1,4.517105647599999,132.29,34881.47146963579,37160.45073955972,23.517698921577296
2021-01-20T13:06:00Z,36243.6,23.26,CT_324,NA,NA,NA,NA,1,4.475834473600003,132.26,34831.66779990909,37110.647069833016,23.48279631418522
2021-01-20T13:07:00Z,36250.2,23.25,CT_324,NA,NA,NA,NA,1,4.46207775,132.25,34829.87263263871,37108.85190256264,23.48153837871192
2021-01-18T07:59:00Z,42595.8,28.28,CT_324,102.69,28.06,0.104,WL_877,1.0269,11.402819222400003,137.28,45849.123170190185,48128.10244011411,31.362896053276152
2021-01-18T08:00:00Z,42569.6,28.3,CT_324,102.87,28.06,0.122,WL_877,1.0287000000000002,11.430501040000001,137.3,45840.921665745074,48119.900935669,31.356912821120645
2021-01-18T08:01:00Z,42517.4,28.28,CT_324,102.388,28.159,0.074,WL_877,1.0238800000000001,11.402819222400003,137.28,45764.73524329263,48043.71451321655,31.301347047146177
2021-01-18T08:02:00Z,42491.3,28.26,CT_324,102.891,28.159,0.124,WL_877,1.02891,11.375138073600002,137.26,45716.682445205566,47995.66171512949,31.26630552845333
2021-01-18T08:03:00Z,42408.9,28.37,CT_324,102.783,28.159,0.114,WL_877,1.02783,11.527392668400003,137.37,45737.633450314046,48016.61272023797,31.28158257542596
2021-01-18T08:04:00Z,42395.9,28.36,CT_324,103.11,28.258,0.146,WL_877,1.0311,11.5135505056,137.36,45713.64771050803,47992.62698043195,31.26409217003279
2021-01-18T08:05:00Z,42309.5,28.41,CT_324,102.571,28.258,0.093,WL_877,1.02571,11.582762991600001,137.41,45670.22005324737,47949.1993231713,31.232431698069046
2021-01-18T11:30:00Z,41516.1,29.49,CT_324,107.553,29.552,0.588,WL_877,1.07553,13.078772943599999,138.49,45872.95347855261,48151.93274847654,31.380266388420466
