"Plot Title: CT_348_overnight"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 20739348, SEN S/N: 20739348)","Temp, °C (LGR S/N: 20739348, SEN S/N: 20739348)"
1,03/26/21 05:00:00 PM,46388.4,21.70
2,03/26/21 05:00:10 PM,46351.3,21.70
3,03/26/21 05:00:20 PM,46376.0,21.70
4,03/26/21 05:00:30 PM,46406.9,21.69
5,03/26/21 05:00:40 PM,46394.6,21.69
6,03/26/21 05:00:50 PM,46338.9,21.70
7,03/26/21 05:01:00 PM,46338.9,21.70
8,03/26/21 05:01:10 PM,46400.8,21.70
9,03/26/21 05:01:20 PM,46400.8,21.70
10,03/26/21 05:01:30 PM,46320.4,21.69
11,03/26/21 05:01:40 PM,46320.4,21.70
12,03/26/21 05:01:50 PM,46345.1,21.69
13,03/26/21 05:02:00 PM,46308.1,21.70
14,03/26/21 05:02:10 PM,46308.1,21.70
15,03/26/21 05:02:20 PM,46351.3,21.69
16,03/26/21 05:02:30 PM,46369.8,21.70
17,03/26/21 05:02:40 PM,46295.7,21.70
18,03/26/21 05:02:50 PM,46332.8,21.70
19,03/26/21 05:03:00 PM,46289.6,21.70
20,03/26/21 05:03:10 PM,46314.2,21.70
21,03/26/21 05:03:20 PM,46301.9,21.70
22,03/26/21 05:03:30 PM,46295.7,21.69
23,03/26/21 05:03:40 PM,46264.9,21.70
24,03/26/21 05:03:50 PM,46283.4,21.69
25,03/26/21 05:04:00 PM,46308.1,21.69
26,03/26/21 05:04:10 PM,46289.6,21.70
27,03/26/21 05:04:20 PM,46283.4,21.70
28,03/26/21 05:04:30 PM,46314.2,21.69
29,03/26/21 05:04:40 PM,46301.9,21.70
30,03/26/21 05:04:50 PM,46264.9,21.69
31,03/26/21 05:05:00 PM,46308.1,21.70
32,03/26/21 05:05:10 PM,46234.1,21.69
33,03/26/21 05:05:20 PM,46234.1,21.70
34,03/26/21 05:05:30 PM,46283.4,21.69
35,03/26/21 05:05:40 PM,46258.8,21.69
36,03/26/21 05:05:50 PM,46283.4,21.70
37,03/26/21 05:06:00 PM,46197.2,21.70
38,03/26/21 05:06:10 PM,46258.8,21.69
39,03/26/21 05:06:20 PM,46271.1,21.70
40,03/26/21 05:06:30 PM,46271.1,21.70
41,03/26/21 05:06:40 PM,46221.8,21.70
42,03/26/21 05:06:50 PM,46221.8,21.70
43,03/26/21 05:07:00 PM,46209.5,21.70
44,03/26/21 05:07:10 PM,46221.8,21.69
45,03/26/21 05:07:20 PM,46252.6,21.69
46,03/26/21 05:07:30 PM,46240.3,21.70
47,03/26/21 05:07:40 PM,46172.6,21.70
48,03/26/21 05:07:50 PM,46240.3,21.69
49,03/26/21 05:08:00 PM,46215.7,21.70
50,03/26/21 05:08:10 PM,46191.1,21.69
51,03/26/21 05:08:20 PM,46215.7,21.70
52,03/26/21 05:08:30 PM,46191.1,21.70
53,03/26/21 05:08:40 PM,46234.1,21.69
54,03/26/21 05:08:50 PM,46111.3,21.70
55,03/26/21 05:09:00 PM,46184.9,21.70
56,03/26/21 05:09:10 PM,46154.2,21.69
57,03/26/21 05:09:20 PM,46154.2,21.70
58,03/26/21 05:09:30 PM,46215.7,21.69
59,03/26/21 05:09:40 PM,46160.4,21.69
60,03/26/21 05:09:50 PM,46191.1,21.69
61,03/26/21 05:10:00 PM,46160.4,21.70
62,03/26/21 05:10:10 PM,46135.8,21.70
63,03/26/21 05:10:20 PM,46135.8,21.69
64,03/26/21 05:10:30 PM,46135.8,21.69
65,03/26/21 05:10:40 PM,46123.5,21.69
66,03/26/21 05:10:50 PM,46129.7,21.69
67,03/26/21 05:11:00 PM,46160.4,21.69
68,03/26/21 05:11:10 PM,46117.4,21.69
