DateTime,hour_minute,Depth_mean,Temperature_mean,Salinity_mean
2021-01-15T09:54:40Z,9:54,-0.009,29.163333333333334,34.79257546
2021-01-15T09:55:30Z,9:55,-0.005333333333333333,29.173333333333332,34.55431720833333
2021-01-15T09:56:30Z,9:56,0.25283333333333335,29.153333333333332,34.475779366666664
2021-01-15T09:57:30Z,9:57,0.271,29.148333333333333,34.37336095166667
2021-01-15T09:58:30Z,9:58,0.2935,29.133333333333333,34.35716652333333
2021-01-15T09:59:30Z,9:59,0.2655,29.12666666666667,34.36474024333333
2021-01-15T10:00:30Z,10:0,0.263,29.130000000000003,34.32473379166667
2021-01-15T10:01:30Z,10:1,0.2845,29.113333333333333,34.32714420333333
2021-01-15T10:02:30Z,10:2,0.2575,29.123333333333335,34.27130458833334
2021-01-15T10:03:30Z,10:3,0.24883333333333332,29.156666666666666,34.201042601666664
2021-01-15T10:04:30Z,10:4,0.2851666666666667,29.148333333333333,34.199739148333336
2021-01-15T10:05:30Z,10:5,0.26616666666666666,29.17666666666667,34.13275083833334
2021-01-15T10:06:30Z,10:6,0.26183333333333336,29.178333333333335,34.1037702
2021-01-15T10:07:30Z,10:7,0.2683333333333333,29.195,34.09413979
2021-01-15T10:08:30Z,10:8,0.2815,29.196666666666665,34.063554215
2021-01-15T10:09:30Z,10:9,0.26116666666666666,29.198333333333334,34.05128130833334
2021-01-15T10:10:30Z,10:10,0.26366666666666666,29.213333333333335,34.08667679
2021-01-15T10:11:30Z,10:11,0.2713333333333333,29.196666666666665,34.148533183333335
2021-01-15T10:12:30Z,10:12,0.267,29.196666666666665,34.09020599666667
2021-01-15T10:13:30Z,10:13,0.26983333333333337,29.14666666666667,34.05866182
2021-01-15T10:14:30Z,10:14,0.261,29.086666666666666,34.004000250000004
2021-01-15T10:15:30Z,10:15,0.2733333333333333,28.808333333333334,34.001272003333334
2021-01-15T10:16:30Z,10:16,0.26133333333333336,28.733333333333334,34.00017504666667
2021-01-15T10:17:30Z,10:17,0.2813333333333333,28.740000000000002,33.978373403333336
2021-01-15T10:18:30Z,10:18,0.27183333333333337,28.805,33.97980046833334
2021-01-15T10:19:30Z,10:19,0.271,28.746666666666666,33.590929
2021-01-15T10:20:30Z,10:20,0.2768333333333333,28.82333333333333,33.859406836666665
2021-01-15T10:21:30Z,10:21,0.2605,28.816666666666666,33.862649475
2021-01-15T10:22:30Z,10:22,0.254,28.8,33.76857015833333
2021-01-15T10:23:30Z,10:23,0.2665,28.884999999999998,33.75194912333333
2021-01-15T10:24:30Z,10:24,0.24766666666666667,29.03333333333333,33.75069075166667
2021-01-15T10:25:30Z,10:25,0.2695,29.061666666666667,33.744147025000004
2021-01-15T10:26:30Z,10:26,0.27749999999999997,29.11,33.84417198166666
2021-01-15T10:27:30Z,10:27,0.253,29.226666666666667,33.92407065
2021-01-15T10:28:30Z,10:28,0.25966666666666666,29.183333333333334,33.933402705
2021-01-15T10:29:30Z,10:29,0.2925,29.166666666666668,33.907096435
2021-01-15T10:30:30Z,10:30,0.279,29.189999999999998,33.84606854
2021-01-15T10:31:30Z,10:31,0.25116666666666665,29.348333333333333,33.720548838333336
2021-01-15T10:32:30Z,10:32,0.26266666666666666,29.295,33.541841858333335
2021-01-15T10:33:30Z,10:33,0.27266666666666667,29.188333333333333,33.10596493
2021-01-15T10:34:30Z,10:34,0.25983333333333336,29.205,32.723241746666666
2021-01-15T10:35:30Z,10:35,0.25566666666666665,29.293333333333333,33.26492487
2021-01-15T10:36:30Z,10:36,0.275,29.283333333333335,33.38640071166667
2021-01-15T10:37:30Z,10:37,0.26016666666666666,29.293333333333333,32.89664886833333
2021-01-15T10:38:30Z,10:38,0.24633333333333335,29.291666666666664,32.867044945
2021-01-15T10:39:30Z,10:39,0.269,29.311666666666667,33.607756906666665
2021-01-15T10:40:30Z,10:40,0.2675,29.266666666666666,33.80796518166667
2021-01-15T10:41:30Z,10:41,0.2445,29.303333333333335,33.64020140666667
2021-01-15T10:42:30Z,10:42,0.26116666666666666,29.346666666666668,33.721541035
2021-01-15T10:43:30Z,10:43,0.289,29.34,33.78705896666667
2021-01-15T10:44:30Z,10:44,0.2593333333333333,29.368333333333332,33.71837316333333
2021-01-15T10:45:30Z,10:45,0.25483333333333336,29.37,33.64514896833333
2021-01-15T10:46:30Z,10:46,0.2583333333333333,29.37,33.59623763166667
2021-01-15T10:47:30Z,10:47,0.26866666666666666,29.351666666666667,33.559091755
2021-01-15T10:48:30Z,10:48,0.27266666666666667,29.398333333333333,33.63585874666667
2021-01-15T10:49:30Z,10:49,0.2685,29.4,33.654161046666665
2021-01-15T10:50:30Z,10:50,0.25883333333333336,29.406666666666666,33.64345001666667
2021-01-15T10:51:30Z,10:51,0.24866666666666667,29.39,33.654042185
2021-01-15T10:52:30Z,10:52,0.27216666666666667,29.395,33.65815485833333
2021-01-15T10:53:30Z,10:53,0.26866666666666666,29.413333333333334,33.67203159
2021-01-15T10:54:30Z,10:54,0.2445,29.41166666666667,33.66884147166667
2021-01-15T10:55:30Z,10:55,0.26166666666666666,29.405,33.674608453333335
2021-01-15T10:56:30Z,10:56,0.2713333333333333,29.408333333333335,33.58628331333333
2021-01-15T10:57:30Z,10:57,0.24133333333333334,29.381666666666668,33.55496438
2021-01-15T10:58:30Z,10:58,0.24066666666666667,29.406666666666666,33.52124426333333
2021-01-15T10:59:30Z,10:59,0.2615,29.435000000000002,33.425877175
2021-01-15T11:00:30Z,11:0,0.247,29.403333333333336,33.47813124333334
